fa=0.01,thresh=7.07
fa=0.02,thresh=5.86
fa=0.04,thresh=4.65
fa=0.05,thresh=4.23
fa=0.1,thresh=2.96
fa=0.2,thresh=1.85
fa=0.3,thresh=1.16
fa=0.4,thresh=0.67
fa=0.5,thresh=0.32
fa=0.8,thresh=-0.56
